brand_name,season,title,cover_image,show_url,year,category
Issey Miyake,Fall 2025 Ready To Wear,Issey Miyake,https://assets.vogue.com/photos/67cb02d3e4f8f83fb7a8bb7b/16:9/pass/00001-issey-miyake-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/issey-miyake,2025,Ready-to-Wear
Jacquemus,Fall 2024 Ready To Wear,Jacquemus,https://assets.vogue.com/photos/666707dfa8354f0b8456d212/16:9/pass/00001-jacquemus-fall-24-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/jacquemus,2024,Ready-to-Wear
Jacquemus,Spring 2024 Ready To Wear,Jacquemus,https://assets.vogue.com/photos/65b7b42bd215206281c7c059/16:9/pass/00001-jacquemus-spring-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/jacquemus,2024,Ready-to-Wear
Jil Sander,Fall 2024 Ready To Wear,Jil Sander,https://assets.vogue.com/photos/65da3d15a20d790e2b54be63/16:9/pass/00001-jil-sander-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/jil-sander,2024,Ready-to-Wear
Jil Sander,Fall 2025 Ready To Wear,Jil Sander,https://assets.vogue.com/photos/67bf313cdcbe5febff23b119/16:9/pass/00001-jil-sander-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/jil-sander,2025,Ready-to-Wear
John Alexander Skelton,Fall 2024 Menswear,John Alexander Skelton,https://assets.vogue.com/photos/659fdf5fb256be09d64bf056/16:9/pass/00001-john-alexander-skelton-fall-2024-menswear-credit-lonny-spence.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/john-alexander-skelton,2024,Menswear
John Alexander Skelton,Fall 2025 Menswear,John Alexander Skelton,https://assets.vogue.com/photos/67851f0fa4bb20b2ea29d8cc/16:9/pass/00001-john-alexander-skelton-fall-2025-menswear-credit-lonny-spence.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/john-alexander-skelton,2025,Menswear
Junya Watanabe,Fall 2024 Menswear,Junya Watanabe,https://assets.vogue.com/photos/65aa57149e9699ec27a0d92d/16:9/pass/00001-junya-watanbe-fall-2024-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/junya-watanabe,2024,Menswear
Junya Watanabe,Fall 2024 Ready To Wear,Junya Watanabe,https://assets.vogue.com/photos/65e308f8ab89229fece5e9b5/16:9/pass/00001-junya-watanabe-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/junya-watanabe,2024,Ready-to-Wear
Khaite,Fall 2024 Ready To Wear,Khaite,https://assets.vogue.com/photos/65c8ec749950947720c331c4/16:9/pass/00001-khaite-fall-2024-ready-to-wear-credit-hanna-tveite-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/khaite,2024,Ready-to-Wear
Khaite,Fall 2025 Ready To Wear,Khaite,https://assets.vogue.com/photos/67a8ce989e0cd7c4b2e0c9b3/16:9/pass/00001-khaite-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/khaite,2025,Ready-to-Wear
Kenzo,Fall 2024 Menswear,Kenzo,https://assets.vogue.com/photos/65aad9693527b79d648490f5/16:9/pass/FIO00011.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/kenzo,2024,Menswear
Kenzo,Fall 2025 Menswear,Kenzo,https://assets.vogue.com/photos/6793f6354ee75fb348fc1831/16:9/pass/ISI00015.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/kenzo,2025,Menswear
Kith,Fall 2024 Menswear,Kith,https://assets.vogue.com/photos/67176b7d5a804be7a0e4a54b/16:9/pass/00001-kith-fall-2024-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/kith,2024,Menswear
Kith,Fall 2024 Ready To Wear,Kith,https://assets.vogue.com/photos/66c5a4e114c7c8a317039a3e/16:9/pass/00001-kith-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/kith,2024,Ready-to-Wear
Kolor,Fall 2024 Menswear,Kolor,https://assets.vogue.com/photos/65abc4f90e6bc4ce78963dc3/16:9/pass/_UMB0014.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/kolor,2024,Menswear
Kolor,Fall 2025 Menswear,Kolor,https://assets.vogue.com/photos/67954ccbd38524d7387e8cb8/16:9/pass/00001-kolor-fall-2025-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/kolor,2025,Menswear
Lanvin,Fall 2025 Menswear,Lanvin,https://assets.vogue.com/photos/67973715b440f858e9273d4c/16:9/pass/00004-lanvin-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/lanvin,2025,Menswear
Lanvin,Fall 2025 Ready To Wear,Lanvin,https://assets.vogue.com/photos/67973628df219d877ec1a357/16:9/pass/00001-lanvin-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/lanvin,2025,Ready-to-Wear
Loewe,Fall 2024 Menswear,Loewe,https://assets.vogue.com/photos/65abccce3464865692de734a/16:9/pass/00001-loewe-fall-2024-mens-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/loewe,2024,Menswear
Loewe,Fall 2024 Ready To Wear,Loewe,https://assets.vogue.com/photos/65e1e284e01e4fc0f69a8f2e/16:9/pass/00001-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/loewe,2024,Ready-to-Wear
